FlyID,Temperature,FeedCount,Genotype,Expt_Group,plot_group
92,29,60,W1118;MB312B-Gal4,Sibling Control,Sibling Control 29
93,29,70,W1118;MB312B-Gal4,Sibling Control,Sibling Control 29
94,29,18,W1118;MB312B-Gal4,Sibling Control,Sibling Control 29
95,29,131,W1118;MB312B-Gal4,Sibling Control,Sibling Control 29
96,29,42,W1118;MB312B-Gal4,Sibling Control,Sibling Control 29
97,29,19,W1118;MB312B-Gal4,Sibling Control,Sibling Control 29
98,29,11,W1118;MB312B-Gal4,Sibling Control,Sibling Control 29
99,29,0,W1118;MB312B-Gal4,Sibling Control,Sibling Control 29
100,29,19,W1118;MB312B-Gal4,Sibling Control,Sibling Control 29
101,29,2,MB312B-Gal4>UAS-TrpA1,Offspring,Offspring 29
102,29,22,MB312B-Gal4>UAS-TrpA1,Offspring,Offspring 29
103,29,1,MB312B-Gal4>UAS-TrpA1,Offspring,Offspring 29
104,29,9,MB312B-Gal4>UAS-TrpA1,Offspring,Offspring 29
105,29,43,MB312B-Gal4>UAS-TrpA1,Offspring,Offspring 29
106,29,31,MB312B-Gal4>UAS-TrpA1,Offspring,Offspring 29
107,29,47,MB312B-Gal4>UAS-TrpA1,Offspring,Offspring 29
108,29,17,MB312B-Gal4>UAS-TrpA1,Offspring,Offspring 29
109,29,28,MB312B-Gal4>UAS-TrpA1,Offspring,Offspring 29
110,29,22,MB312B-Gal4>UAS-TrpA1,Offspring,Offspring 29
111,29,232,W1118;UAS-TrpA1,Sibling Control,Sibling Control 29
112,29,60,W1118;UAS-TrpA1,Sibling Control,Sibling Control 29
113,29,25,W1118;UAS-TrpA1,Sibling Control,Sibling Control 29
114,29,47,W1118;UAS-TrpA1,Sibling Control,Sibling Control 29
115,29,26,W1118;UAS-TrpA1,Sibling Control,Sibling Control 29
116,29,48,W1118;UAS-TrpA1,Sibling Control,Sibling Control 29
117,29,29,W1118;UAS-TrpA1,Sibling Control,Sibling Control 29
118,29,12,W1118;UAS-TrpA1,Sibling Control,Sibling Control 29
119,29,11,W1118;UAS-TrpA1,Sibling Control,Sibling Control 29
120,29,14,W1118;UAS-TrpA1,Sibling Control,Sibling Control 29
